employee_id,employee_name,month,salary_amount
SH001,宋江,202401,28887
SH001,宋江,202402,25543
SH001,宋江,202403,28795
SH001,宋江,202404,27798
SH001,宋江,202405,26974
SH001,宋江,202406,25088
SH001,宋江,202407,27047
SH001,宋江,202408,26363
SH001,宋江,202409,25322
SH001,宋江,202410,28092
SH001,宋江,202411,24850
SH001,宋江,202412,28480
SH002,卢俊义,202401,24258
SH002,卢俊义,202402,29601
SH002,卢俊义,202403,27582
SH002,卢俊义,202404,27550
SH002,卢俊义,202405,24292
SH002,卢俊义,202406,24378
SH002,卢俊义,202407,27082
SH002,卢俊义,202408,26409
SH002,卢俊义,202409,24505
SH002,卢俊义,202410,29502
SH002,卢俊义,202411,25508
SH002,卢俊义,202412,24742
SH003,吴用,202401,21623
SH003,吴用,202402,23070
SH003,吴用,202403,23430
SH003,吴用,202404,20918
SH003,吴用,202405,23499
SH003,吴用,202406,21489
SH003,吴用,202407,21003
SH003,吴用,202408,25070
SH003,吴用,202409,25147
SH003,吴用,202410,24423
SH003,吴用,202411,22106
SH003,吴用,202412,21153
SH004,公孙胜,202401,28024
SH004,公孙胜,202402,30638
SH004,公孙胜,202403,30205
SH004,公孙胜,202404,31524
SH004,公孙胜,202405,27624
SH004,公孙胜,202406,28911
SH004,公孙胜,202407,27676
SH004,公孙胜,202408,31064
SH004,公孙胜,202409,29112
SH004,公孙胜,202410,27828
SH004,公孙胜,202411,29955
SH004,公孙胜,202412,26784
SH005,关胜,202401,26602
SH005,关胜,202402,26309
SH005,关胜,202403,29166
SH005,关胜,202404,28094
SH005,关胜,202405,25940
SH005,关胜,202406,27251
SH005,关胜,202407,26984
SH005,关胜,202408,29351
SH005,关胜,202409,28724
SH005,关胜,202410,28202
SH005,关胜,202411,27086
SH005,关胜,202412,27339
SH006,林冲,202401,20284
SH006,林冲,202402,18969
SH006,林冲,202403,19049
SH006,林冲,202404,18529
SH006,林冲,202405,17935
SH006,林冲,202406,19554
SH006,林冲,202407,19441
SH006,林冲,202408,19038
SH006,林冲,202409,17929
SH006,林冲,202410,18662
SH006,林冲,202411,20698
SH006,林冲,202412,21011
SH007,秦明,202401,22673
SH007,秦明,202402,21523
SH007,秦明,202403,22625
SH007,秦明,202404,22354
SH007,秦明,202405,20680
SH007,秦明,202406,19201
SH007,秦明,202407,20352
SH007,秦明,202408,21597
SH007,秦明,202409,21585
SH007,秦明,202410,21273
SH007,秦明,202411,19950
SH007,秦明,202412,21147
SH008,呼延灼,202401,24095
SH008,呼延灼,202402,24315
SH008,呼延灼,202403,23393
SH008,呼延灼,202404,24362
SH008,呼延灼,202405,23081
SH008,呼延灼,202406,23215
SH008,呼延灼,202407,22775
SH008,呼延灼,202408,20916
SH008,呼延灼,202409,21297
SH008,呼延灼,202410,20944
SH008,呼延灼,202411,23740
SH008,呼延灼,202412,22251
SH009,花荣,202401,22732
SH009,花荣,202402,19965
SH009,花荣,202403,20642
SH009,花荣,202404,22093
SH009,花荣,202405,19878
SH009,花荣,202406,19240
SH009,花荣,202407,20135
SH009,花荣,202408,19594
SH009,花荣,202409,22825
SH009,花荣,202410,22314
SH009,花荣,202411,21579
SH009,花荣,202412,22580
SH010,柴进,202401,18315
SH010,柴进,202402,20054
SH010,柴进,202403,17972
SH010,柴进,202404,17219
SH010,柴进,202405,18091
SH010,柴进,202406,20142
SH010,柴进,202407,17778
SH010,柴进,202408,19177
SH010,柴进,202409,16766
SH010,柴进,202410,18077
SH010,柴进,202411,17899
SH010,柴进,202412,17377
SH011,李应,202401,20190
SH011,李应,202402,19388
SH011,李应,202403,18969
SH011,李应,202404,19863
SH011,李应,202405,22348
SH011,李应,202406,19804
SH011,李应,202407,20607
SH011,李应,202408,21363
SH011,李应,202409,19970
SH011,李应,202410,22467
SH011,李应,202411,22428
SH011,李应,202412,19510
SH012,朱仝,202401,21655
SH012,朱仝,202402,21583
SH012,朱仝,202403,20464
SH012,朱仝,202404,23048
SH012,朱仝,202405,22566
SH012,朱仝,202406,20530
SH012,朱仝,202407,21555
SH012,朱仝,202408,24395
SH012,朱仝,202409,21379
SH012,朱仝,202410,20952
SH012,朱仝,202411,22506
SH012,朱仝,202412,24744
SH013,鲁智深,202401,20915
SH013,鲁智深,202402,18813
SH013,鲁智深,202403,19999
SH013,鲁智深,202404,19476
SH013,鲁智深,202405,21779
SH013,鲁智深,202406,20413
SH013,鲁智深,202407,22520
SH013,鲁智深,202408,20119
SH013,鲁智深,202409,21834
SH013,鲁智深,202410,21760
SH013,鲁智深,202411,19100
SH013,鲁智深,202412,20568
SH014,武松,202401,15902
SH014,武松,202402,17829
SH014,武松,202403,18132
SH014,武松,202404,15817
SH014,武松,202405,17553
SH014,武松,202406,16553
SH014,武松,202407,18019
SH014,武松,202408,16370
SH014,武松,202409,18179
SH014,武松,202410,17114
SH014,武松,202411,19040
SH014,武松,202412,16241
SH015,董平,202401,24244
SH015,董平,202402,21807
SH015,董平,202403,23346
SH015,董平,202404,24061
SH015,董平,202405,21897
SH015,董平,202406,21649
SH015,董平,202407,25387
SH015,董平,202408,23232
SH015,董平,202409,22047
SH015,董平,202410,25453
SH015,董平,202411,25310
SH015,董平,202412,23424
SH016,张清,202401,21444
SH016,张清,202402,21489
SH016,张清,202403,23159
SH016,张清,202404,23917
SH016,张清,202405,23873
SH016,张清,202406,23398
SH016,张清,202407,22787
SH016,张清,202408,20315
SH016,张清,202409,20658
SH016,张清,202410,23924
SH016,张清,202411,22629
SH016,张清,202412,19982
SH017,杨志,202401,19102
SH017,杨志,202402,19220
SH017,杨志,202403,16798
SH017,杨志,202404,16873
SH017,杨志,202405,17506
SH017,杨志,202406,17375
SH017,杨志,202407,19293
SH017,杨志,202408,16419
SH017,杨志,202409,15864
SH017,杨志,202410,17535
SH017,杨志,202411,16429
SH017,杨志,202412,17088
SH018,徐宁,202401,16729
SH018,徐宁,202402,16439
SH018,徐宁,202403,14900
SH018,徐宁,202404,15788
SH018,徐宁,202405,15456
SH018,徐宁,202406,15387
SH018,徐宁,202407,17752
SH018,徐宁,202408,15871
SH018,徐宁,202409,17489
SH018,徐宁,202410,16643
SH018,徐宁,202411,17174
SH018,徐宁,202412,16226
SH019,索超,202401,21989
SH019,索超,202402,20679
SH019,索超,202403,23001
SH019,索超,202404,21056
SH019,索超,202405,19926
SH019,索超,202406,22662
SH019,索超,202407,20599
SH019,索超,202408,23961
SH019,索超,202409,24021
SH019,索超,202410,23849
SH019,索超,202411,21450
SH019,索超,202412,19887
SH020,戴宗,202401,16740
SH020,戴宗,202402,17509
SH020,戴宗,202403,17577
SH020,戴宗,202404,18991
SH020,戴宗,202405,15855
SH020,戴宗,202406,16653
SH020,戴宗,202407,16255
SH020,戴宗,202408,16524
SH020,戴宗,202409,17275
SH020,戴宗,202410,16885
SH020,戴宗,202411,16962
SH020,戴宗,202412,18519
SH021,刘唐,202401,15658
SH021,刘唐,202402,14197
SH021,刘唐,202403,15797
SH021,刘唐,202404,16955
SH021,刘唐,202405,14330
SH021,刘唐,202406,15498
SH021,刘唐,202407,16607
SH021,刘唐,202408,16185
SH021,刘唐,202409,16050
SH021,刘唐,202410,16067
SH021,刘唐,202411,15008
SH021,刘唐,202412,14804
SH022,李逵,202401,12600
SH022,李逵,202402,12181
SH022,李逵,202403,13091
SH022,李逵,202404,11734
SH022,李逵,202405,11538
SH022,李逵,202406,13133
SH022,李逵,202407,12022
SH022,李逵,202408,11707
SH022,李逵,202409,12541
SH022,李逵,202410,11655
SH022,李逵,202411,13796
SH022,李逵,202412,11596
SH023,史进,202401,16098
SH023,史进,202402,17795
SH023,史进,202403,15894
SH023,史进,202404,17400
SH023,史进,202405,17670
SH023,史进,202406,16772
SH023,史进,202407,17839
SH023,史进,202408,15875
SH023,史进,202409,15899
SH023,史进,202410,18651
SH023,史进,202411,17031
SH023,史进,202412,16214
SH024,穆弘,202401,18259
SH024,穆弘,202402,16353
SH024,穆弘,202403,18730
SH024,穆弘,202404,16989
SH024,穆弘,202405,18308
SH024,穆弘,202406,16088
SH024,穆弘,202407,16832
SH024,穆弘,202408,17819
SH024,穆弘,202409,15896
SH024,穆弘,202410,15877
SH024,穆弘,202411,18745
SH024,穆弘,202412,17871
SH025,雷横,202401,12371
SH025,雷横,202402,11146
SH025,雷横,202403,11539
SH025,雷横,202404,10697
SH025,雷横,202405,10573
SH025,雷横,202406,12762
SH025,雷横,202407,12466
SH025,雷横,202408,12139
SH025,雷横,202409,11469
SH025,雷横,202410,10918
SH025,雷横,202411,10879
SH025,雷横,202412,11098
SH026,李俊,202401,16358
SH026,李俊,202402,16675
SH026,李俊,202403,19352
SH026,李俊,202404,18297
SH026,李俊,202405,17864
SH026,李俊,202406,18364
SH026,李俊,202407,17575
SH026,李俊,202408,18624
SH026,李俊,202409,16194
SH026,李俊,202410,18040
SH026,李俊,202411,16589
SH026,李俊,202412,16452
SH027,阮小二,202401,12330
SH027,阮小二,202402,12143
SH027,阮小二,202403,12129
SH027,阮小二,202404,14305
SH027,阮小二,202405,13900
SH027,阮小二,202406,13287
SH027,阮小二,202407,12281
SH027,阮小二,202408,13333
SH027,阮小二,202409,13285
SH027,阮小二,202410,12483
SH027,阮小二,202411,13179
SH027,阮小二,202412,13084
